品名,最低价,平均价,最高价,单位
大白菜,0.50,0.55,0.60,斤
娃娃菜,1.40,1.60,1.80,斤
小白菜,1.50,1.75,2.00,斤
芹菜,1.00,1.10,1.20,斤
西芹,2.20,2.50,2.80,斤
菠菜,2.00,2.25,2.50,斤
莴笋,0.60,0.90,1.20,斤
团生菜,2.00,2.50,3.00,斤
圆白菜,0.40,0.60,0.80,斤
紫甘蓝,0.65,0.68,0.70,斤
散叶生菜,2.00,2.10,2.20,斤
油菜,1.20,1.40,1.60,斤
香菜,4.00,4.50,5.00,斤
茴香,2.00,2.25,2.50,斤
韭菜,1.20,1.40,1.60,斤
韭菜苔,3.80,3.90,4.00,斤
苦菊,2.00,2.15,2.30,斤
油麦菜,2.00,2.10,2.20,斤
散菜花,1.50,1.75,2.00,斤
绿菜花,2.00,2.25,2.50,斤
绿豆芽,0.95,0.98,1.00,斤
黄豆芽,0.85,0.88,0.90,斤
番茄,0.80,1.00,1.20,斤
番茄（精品）,1.20,1.35,1.50,斤
樱西,2.50,2.75,3.00,斤
黄瓜,1.50,1.75,2.00,斤
黄瓜(鲜干花),2.00,2.25,2.50,斤
小黄瓜,2.50,2.75,3.00,斤
茄子,0.60,0.80,1.00,斤
长茄,0.80,1.00,1.20,斤
广茄,1.30,1.65,2.00,斤
线茄,1.30,1.90,2.50,斤
吊冬瓜,0.60,0.65,0.70,斤
地冬瓜,0.50,0.55,0.60,斤
小毛冬瓜,0.80,0.90,1.00,斤
架豆,1.50,1.75,2.00,斤
豆王,1.80,3.90,6.00,斤
扁豆,2.00,3.50,5.00,斤
豇豆,2.50,3.00,3.50,斤
白不老,1.60,1.90,2.20,斤
锅里变架豆,1.00,1.25,1.50,斤
油豆,2.20,2.60,3.00,斤
毛豆,2.50,2.75,3.00,斤
豌豆,2.40,2.45,2.50,斤
荷兰豆,5.00,5.75,6.50,斤
玉米,0.80,1.10,1.40,斤
花生,4.00,4.50,5.00,斤
苦瓜,1.80,1.90,2.00,斤
丝瓜,1.50,1.75,2.00,斤
丝瓜,2.50,3.00,3.50,斤
瓠子,0.80,1.40,2.00,斤
西葫芦,0.80,1.00,1.20,斤
佛手瓜,2.50,2.75,3.00,斤
金丝南瓜,0.50,0.55,0.60,斤
南北瓜,0.80,0.85,0.90,斤
尖椒,1.00,1.50,2.00,斤
螺丝椒,1.50,2.00,2.50,斤
柿子椒,1.20,1.60,2.00,斤
线椒,1.50,1.75,2.00,斤
杭椒,1.80,2.00,2.20,斤
小米椒,4.00,4.25,4.50,斤
彩椒,3.00,3.25,3.50,斤
白萝卜,0.30,0.40,0.50,斤
心里美,0.70,0.85,1.00,斤
卞萝卜,0.40,0.50,0.60,斤
青萝卜,0.70,0.80,0.90,斤
胡萝卜,0.60,0.70,0.80,斤
胡萝卜（洗）,0.80,0.90,1.00,斤
土豆,0.60,0.80,1.00,斤
黄葱头,0.80,0.90,1.00,斤
红葱头,1.00,1.10,1.20,斤
山药,2.10,2.25,2.40,斤
铁棍山药,4.00,5.00,6.00,斤
莲藕,6.00,6.50,7.00,斤
红薯,0.70,0.90,1.10,斤
红薯,1.60,1.95,2.30,斤
茭白,2.00,2.25,2.50,斤
凉薯,2.00,2.15,2.30,斤
荸荠,4.80,4.90,5.00,斤
芋头,1.50,1.75,2.00,斤
